"ARTIST_ID","NAME","CURRENT_SCHEMA_TYPE","MEMBER_IDS","ACTION"
"akie","Akie","","","person または music-group を設定（空欄時の表示既定はperson）"
"adhemar","AdhéMar","","","person または music-group を設定（空欄時の表示既定はperson）"
"allen-mock","Allen Mock","","","person または music-group を設定（空欄時の表示既定はperson）"
"doltz","Doltz","","","person または music-group を設定（空欄時の表示既定はperson）"
"joma","Joma","","","person または music-group を設定（空欄時の表示既定はperson）"
"suguru-mochizuki","Suguru Mochizuki","","","person または music-group を設定（空欄時の表示既定はperson）"
"yukimasa","YUKIMASA","","","person または music-group を設定（空欄時の表示既定はperson）"
"tonbo","Tonbo","","","person または music-group を設定（空欄時の表示既定はperson）"
"sunga","SUNGA","","","person または music-group を設定（空欄時の表示既定はperson）"
"dj-yazi","DJ Yazi","","","person または music-group を設定（空欄時の表示既定はperson）"
"iron","Iron","","","person または music-group を設定（空欄時の表示既定はperson）"
"Kiko Dinucci","Kiko Dinucci","","","person または music-group を設定（空欄時の表示既定はperson）"
"The Master Musicians of Joujouka","The Master Musicians Of Joujouka","","","person または music-group を設定（空欄時の表示既定はperson）"
"Kuo from Sunset Rollercoaster","Kuo From Sunset Rollercoaster","","","person または music-group を設定（空欄時の表示既定はperson）"
"Sylvan Esso","Sylvan Esso","","","person または music-group を設定（空欄時の表示既定はperson）"
"Acid Pauli","Acid Pauli","","","person または music-group を設定（空欄時の表示既定はperson）"
"Alabaster DePlume","Alabaster DePlume","","","person または music-group を設定（空欄時の表示既定はperson）"
"Juana Molina","Juana Molina","","","person または music-group を設定（空欄時の表示既定はperson）"
