section,id,name,missing_in_spa,extra_in_spa,spa_rendered,static_exists,artist_links_spa,artist_links_static,editions_spa,editions_static,faq_qa_spa,faq_qa_static,instagram_spa,instagram_static,lineup_spa,lineup_static,official_link_spa,official_link_static,past_lineup_spa,past_lineup_static,related_spa,related_static,summary_spa,summary_static
festival,one-music-camp,ONE MUSIC CAMP,6,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1
festival,global-ark,Global Ark,9,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,1
festival,kyoumei-gathering,KYOUMEI GatherinG,8,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1
festival,bondisco,BonDisco,7,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,1
festival,pure-rave,PURE RAVE,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,big-fun,BIG FUN,8,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1
festival,okiraku-camp,OKIRAKU CAMP,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,gampeki,GAMPEKI,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,sangenjaya-music-festival,SANGENJAYA MUSIC FESTIVAL,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,colors-presents-soundcamp,COLORS Presents SOUNDCAMP,8,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1
festival,festival40010,Festival40010,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,ffkt,FFKT,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,music-camp-core,Music Camp CORE,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,circus,CIRCUS,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,each-story,EACH STORY,9,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,1
festival,rare-groove,Rare Groove,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,delta-commit,DELTA COMMIT,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,music,＋music,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,ishinoko,ishinoko,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,treks,TREKs,7,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,1
festival,circle,Circle,9,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,1
festival,one-park-riverfes,ONE PARK RIVERFES,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,lost-find,Lost&Find,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,asagiri-jam,ASAGIRI JAM,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,dream-festival,DREAM FESTIVAL,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,annahme,annahme,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,brightness,Brightness,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,capsule,CAPSULE-山中湖花火音楽祭,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,midnight-cult-rave,MIDNIGHT CULT RAVE,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,mirrorball-village,Mirrorball Village,4,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,grow-the-culture-open-air,GROW THE CULTURE OPEN AIR,11,0,True,True,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,6,0,1
festival,iyasaka-rave-festival,IYASAKA RAVE FESTIVAL,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,topia,Topia,8,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1
festival,mutek,Mutek,10,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1
festival,odyssey,Odyssey,4,0,False,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
festival,takarajima-beach-cleaning-party,TAKARAJIMA-Beach Cleaning Party-,5,0,True,True,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1
festival,technogaoka,Technogaoka,7,0,False,True,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,1
festival,hacha-mecha,HACHA MECHA,7,27,True,True,13,0,0,0,0,0,0,1,13,0,2,1,0,0,0,5,0,1
