ID	NAME	CITY	AREA	TYPE	IMAGE	GENRE	CAPACITY	ADDRESS	LAT	LNG	URL	INSTAGRAM	DESC	STATUS	ogImage	metaDescription	TAGS	editorNotes	lastEditedBy	lastEditedAt	name_en	DESC_EN	imagePosition
kieth-flack	KIETH FLACK	FUKUOKA	MAIZURU	club				福岡県福岡市中央区舞鶴1-8-28 マジックスクエアビル 1F.2F			https://kiethflack.net/	https://www.instagram.com/kiethflack/		draft									
precious-hall	PRECIOUS HALL	SAPPORO	SUSUKINO	club				北海道札幌市中央区南2条西3丁目 パレードビル B2F				https://www.instagram.com/precioushall_sapporo/		draft									
club-about	CLUB ABOUT	NAGOYA	SAKAE	club				愛知県名古屋市中区栄4丁目13-3 B1			https://www.club-about.com/			draft									
